No. Empleado ,Insight,Energizar y comprometer,Lograr resultados a través de otros,Coaching y desarrollo,Influir con integridad,Coraje
10815440,4.3,4.7,4.6,4.6,4.8,4.6
10788575,4.4,4.8,4.2,4.2,4.6,4.6
1201869,4.6,4.7,4.6,4.6,4.6,4.6
10049954,4.8,4.6,4.7,4.6,4.6,4.6
11052160,4.8,4.6,3.7,3.8,4.8,4.7
10736985,4.6,4.8,4.6,4.6,4.6,4.5
1290263,3.4,4.4,4.4,4.4,4.2,4.3
10016020,4.6,3.8,3.7,3.8,3.8,3.8
1200922,4,4.7,4.7,4.6,4.6,4.6
10092555,4.1,4.6,4.4,4.6,4.4,4.6
10015226,4.7,4.8,4.8,4.8,4.8,4.8
10673497,3.6,4.3,3.6,3.6,4.6,3.1
10408324,4.7,4.6,4.6,3.6,4.4,4.6
1290251,3.2,4.6,4.6,4.6,2.8,4.6
10068122,4.8,4.8,4.3,3.6,3.8,3.8
10596690,4.6,4.7,4.7,4.6,4.8,4.8
10460396,4.6,4.8,4.6,4.6,4.8,4.8
11032875,3.6,4.6,4.6,4.4,4.6,4.6
11001783,4.7,4.7,4.6,4.2,4.6,4.7
10902509,4.6,4.8,4.8,4.6,4.8,4.6
10568445,3.6,4.8,3.9,3.6,4.6,4.6
1202661,4.2,4.8,4.8,3.6,4.8,3.8
1201272,4.1,4.6,3.6,4.6,4.6,3.6
10612515,4.1,4.6,4.6,4.4,4.6,3.6
1203749,4.7,3.7,3.6,3.6,4.6,3.6
10994928,4.1,4.6,4.6,3.6,4.6,4.6
10250133,4.6,3.7,3.6,3.6,4.8,4.2
10536835,3.7,4.6,3.8,3.8,4.6,4.8
10571775,4.8,3.7,4.3,2.6,3.8,3.7
10466618,4.8,4.8,4.8,4.8,4.8,4.8
10432159,4.8,4.8,3.8,4.8,4.8,4.8
10394316,4.7,4.1,4.7,4.8,4.8,4.8
10408386,4.5,4.6,4.6,4.6,4.6,4.7
10189622,4.6,4.7,4.8,4.6,4.6,3.8
10605600,4.2,3.8,3.8,3.8,3.8,4.7
