Numero de Empleado ,Conocimiento del entorno empresarial,Practica lo que se predica,Enfoque a resultados,Conocimiento de si mismo,Cooperación proactiva,Iniciativa
10417232,4.8,4.8,4.6,4.2,3.8,3.6
10823007,4.3,4.8,3.8,4.3,4.8,3.8
10720690,3.2,4.8,1.8,2.2,3.3,1.8
10928284,4.8,4.8,4.8,3.3,4.7,4.8
10891779,3.6,4.8,3.8,3.3,4.2,4.6
10768963,3.8,3.8,3.8,3.3,3.3,3.3
1290267,4.6,4.8,4.8,4.1,4.3,3.6
11017948,4.4,4.8,4.6,3.7,4.8,3.7
10099565,4.8,4.8,4.6,4.8,4.8,4.6
11017953,4.8,4.8,4.8,4.3,4.8,3.8
10826816,2.8,4.8,2.8,3.8,2.8,2.8
10826816,4.3,4.8,3.8,3.8,4.3,3.3
10555858,3.3,3.3,2.8,2.8,3.3,2.8
10717899,4.8,4.8,4.8,4.8,4.8,4.3
10449226,3.8,4.8,3.8,3.7,4.8,3.6
10797794,4.8,4.8,4.8,4.3,4.8,4.8
10835478,3.6,4.8,3.6,3.6,4.8,3.6
11018417,3.3,3.8,3.8,3.6,3.8,3.1
11022477,3.6,3.8,3.6,3.8,3.6,2.8
1200907,3.3,3.8,2.6,2.6,3.1,2.6
11026180,4.6,4.7,4.6,4.7,4,3.6
10844853,4.8,3.8,3.8,3.8,3.8,2.8
10508553,1.7,2.8,1.8,2.8,2.1,1.8
10816497,4.8,4.8,3.8,4.2,4.8,3.7
10800514,4.8,4.8,3.8,4.8,4.8,4.8
10933821,4.3,4.8,3.8,3.8,3.2,3.8
10773179,3.8,4.8,3.8,3.8,3.8,3.3
10947998,4.7,4.8,3.6,4.6,4.6,2.5
10281145,3.7,4.8,4.8,3.6,4.3,4.7
10979224,3.7,4.8,3.6,3.8,3.8,2.8
10364191,3.6,4.8,3.6,3.8,2.7,3.2
10812451,3.6,4.8,4.8,4.6,4.2,4.1
10644788,3.3,4.3,2.8,3.6,3.3,2.8
10826379,2.8,3.3,3.8,3.3,3.8,3.8
10924864,4.6,4.8,4.8,4.8,4.8,4.8
10454885,4.8,4.8,4.6,3.7,4.8,4.1
11033458,4.5,4.8,4.4,4.5,4.5,4.4
10947403,2.8,3.3,2.8,2.7,3.3,2.8
10764367,4.7,4.8,4.6,4.8,4.8,4.8
10601781,4.8,4.3,4.6,4.7,4.6,4.6
10910331,4.8,4.8,4.8,4.8,4.8,4.8
10806933,4.8,4.8,4.6,4.6,4.1,4.6
10847660,2.8,4.8,2.6,3.3,3.2,3.2
11021915,3.6,3.8,3.8,3.7,3.8,3.7
10663334,4.7,4.8,4.8,4.8,4.8,4.7
10913930,4.8,4.8,4.6,3.5,4.8,4.1
10847723,4.8,4.8,4.8,4.8,4.7,4.8
10747520,3.7,4.8,2.8,3.3,3.8,3.8
10994941,4.8,4.7,4.6,4.8,4.8,4.8
10914406,4.8,4.8,4.8,4.8,4.8,4.8
10914406,3.8,4.8,4.8,4.6,4.8,4.1
10552185,4.3,4.8,3.8,4.8,4.8,3.8
10856120,4.7,4.8,4.8,4.8,4.6,4.8
10769372,4.6,4.8,4.6,4.6,4.5,4.3
11026675,4.6,4.8,4.4,4.8,3.9,4.3
10823228,3.4,4.7,3.8,4.2,4.8,3.6
10956611,4.1,4.8,4.4,4.6,4.4,4.1
10425417,2.6,3.8,4.8,3.3,4.7,4.1
10810376,3.8,4.8,3.8,4.2,4.8,4.3
